causeCode,causeName,causeNameShort,causeList,topLevCode,topLevName
0,All CAUSES,All CAUSES,.All CAUSES,0,All Causes
A,"Communicable, maternal, perinatal and nutritional conditions","Communicable, maternal, perinatal and nutritional conditions","..A. - Communicable, maternal, perinatal and nutritional conditions",A,Communicable
A01,Tuberculosis,Tuberculosis,...A.01. - Tuberculosis,A,Communicable
A02,HIV/ and other Sexually transmitted diseases (STDs),HIV and other STDs,...A.02. - HIV/ and other Sexually transmitted diseases (STDs),A,Communicable
A02a,Sexually transmitted diseases (STDs) excluding HIV,Sexually transmitted diseases (STDs) excluding HIV,....A.02.a. - Sexually transmitted diseases (STDs) excluding HIV,A,Communicable
A02b,HIV/AIDS,HIV/AIDS,....A.02.b. - HIV/AIDS,A,Communicable
A04,Meningitis,Meningitis,...A.04. - Meningitis,A,Communicable
A05,Encephalitis,Encephalitis,...A.05. - Encephalitis,A,Communicable
A06,Hepatitis,Hepatitis,...A.06. - Hepatitis,A,Communicable
A06a,Acute hepatitis B,Acute hepatitis B,....A.06.a. - Acute hepatitis B,A,Communicable
A06b,Acute hepatitis C,Acute hepatitis C,....A.06.b. - Acute hepatitis C,A,Communicable
A07,Influenza,Influenza,...A.07. - Influenza,A,Communicable
A08,Pneumonia,Pneumonia,...A.08. - Pneumonia,A,Communicable
A09,Maternal conditions,Maternal conditions,...A.09. - Maternal conditions,A,Communicable
A10,Neonatal conditions,Neonatal conditions,...A.10. - Neonatal conditions,A,Communicable
A11,COVID-19,COVID-19,...A.11. - COVID-19,A,Communicable
A99,Other Infectious Diseases/Nutritional Deficiencies,Other Infections/Nutritional,...A.99. - Other Infectious Diseases/Nutritional Deficiencies,A,Communicable
B,Cancer/Malignant neoplasms,Cancer/Malignant neoplasms,..B. - Cancer/Malignant neoplasms,B,Cancer
B01,Mouth and oropharynx cancers,Mouth and oropharynx cancers,...B.01. - Mouth and oropharynx cancers,B,Cancer
B02,Esophagus cancer,Esophagus cancer,...B.02. - Esophagus cancer,B,Cancer
B03,Stomach cancer,Stomach cancer,...B.03. - Stomach cancer,B,Cancer
B04,Colon and rectum cancers,Colon and rectum cancers,...B.04. - Colon and rectum cancers,B,Cancer
B05,Liver cancer,Liver cancer,...B.05. - Liver cancer,B,Cancer
B06,Pancreas cancer,Pancreas cancer,...B.06. - Pancreas cancer,B,Cancer
B07,"Trachea, bronchus and lung cancers",Lung Cancer,"...B.07. - Trachea, bronchus and lung cancers",B,Cancer
B08,Melanoma and other skin cancers,Melanoma and other skin cancers,...B.08. - Melanoma and other skin cancers,B,Cancer
B09,Breast cancer,Breast cancer,...B.09. - Breast cancer,B,Cancer
B10,Uterine cancer,Uterine cancer,...B.10. - Uterine cancer,B,Cancer
B11,Ovary cancer,Ovary cancer,...B.11. - Ovary cancer,B,Cancer
B12,Prostate cancer,Prostate cancer,...B.12. - Prostate cancer,B,Cancer
B13,"Kidney, renal pelvis and ureter cancer","Kidney, renal pelvis and ureter cancer","...B.13. - Kidney, renal pelvis and ureter cancer",B,Cancer
B14,Bladder cancer,Bladder cancer,...B.14. - Bladder cancer,B,Cancer
B15,Brain and nervous system cancers,Brain and nervous system cancers,...B.15. - Brain and nervous system cancers,B,Cancer
B16,Lymphomas and multiple myeloma,Lymphomas and multiple myeloma,...B.16. - Lymphomas and multiple myeloma,B,Cancer
B16a,Hodgkin lymphoma,Hodgkin lymphoma,....B.16.a. - Hodgkin lymphoma,B,Cancer
B16b,Non-Hodgkin lymphoma,Non-Hodgkin lymphoma,....B.16.b. - Non-Hodgkin lymphoma,B,Cancer
B16c,Multiple myeloma,Multiple myeloma,....B.16.c. - Multiple myeloma,B,Cancer
B17,Leukemia,Leukemia,...B.17. - Leukemia,B,Cancer
B99,Other malignant neoplasms,Other malignant neoplasms,...B.99. - Other malignant neoplasms,B,Cancer
C,Cardiovascular diseases,Cardiovascular diseases,..C. - Cardiovascular diseases,C,Cardiovascular
